,times in top 5%,Mean Prob,Original Dependency,Original Dependency Score
ATP6V1F,37,0.942690077128711,8,-1.1908187314973397
GRPEL1,37,0.9676818342896194,11,-1.3465902847240745
PFDN2,37,0.971383881461513,26,-1.6049341029146993
INTS11,37,0.9850550659067995,37,-2.0856894305971854
LSM5,37,0.9751514534692508,18,-1.4557053932645423
NCBP2,37,0.9832382175299497,34,-2.124546117243652
NOP16,37,0.9638744469161507,14,-1.4471268459375253
CENPK,37,0.967368767068193,20,-1.5114157891394537
GTF2B,37,0.9784668334969532,30,-2.0573539263323357
RAN,37,0.983577118800567,37,-4.118603511909032
SFPQ,37,0.9661487754400787,21,-1.5057447381450009
RRP12,37,0.9144285517232912,12,-1.2866403384435845
KPNB1,37,0.9671636519131358,31,-1.8261394875336978
CCNK,37,0.9799137222874273,33,-1.816041425901772
MED11,37,0.9769008997324351,35,-2.1911007386244195
BIRC5,37,0.970468408889599,36,-2.1969127168667884
SF3A3,37,0.9828373403162568,37,-2.42621620249774
HCFC1,37,0.9734075214411764,27,-1.6510909833038858
CENPW,37,0.9772115489384079,26,-1.7856602249716402
EIF4E,37,0.9723174679386722,24,-1.684001458368784
POLE,37,0.9712963415695741,20,-1.5572235282436346
TRAPPC3,37,0.9633799206029187,24,-1.6712930011417202
SMU1,37,0.9822123158085451,37,-2.7742041477272426
EEF2,37,0.9725198273186212,34,-2.599087564186024
PFDN6,37,0.976718766732259,20,-1.563425165656635
NCBP1,37,0.9377948024251441,11,-1.3268519744560785
POLD2,37,0.9605720633859034,17,-1.4445362682666856
SART3,37,0.9713547718417538,25,-1.6215001305551475
CRCP,37,0.9186451945218955,19,-1.509947387261623
SAE1,37,0.9541791494902189,18,-1.507521801088324
ATP6V1A,37,0.9729829269486503,24,-1.7043004881540575
CCT4,37,0.9859950569298892,36,-2.1623927075129177
DDX18,37,0.9457734570846902,16,-1.503238460385339
TSR1,37,0.9063347196793772,8,-1.3228848722189746
CPSF2,37,0.9613318690308578,18,-1.4305499594836002
UBE2I,37,0.984810225598447,33,-1.9238702800760457
CDK7,37,0.9820325675311387,27,-1.7755224898520336
CTCF,37,0.9117400541498852,26,-1.6876165238616712
NOB1,37,0.9175813944490105,9,-1.3021080956934612
EIF2B3,37,0.9724674214113941,13,-1.4130895884989894
CPSF3,37,0.9762898619110518,32,-1.8713520804722754
RFC5,37,0.9691604794682686,17,-1.4574410235438648
CHAF1B,37,0.9863537238524844,33,-2.0841351566762802
MED6,37,0.9636564491031407,25,-1.539370077702357
EIF2S1,37,0.9788954247225513,28,-1.6201970707981688
EIF3D,37,0.9705957560925872,25,-1.6550767156439845
COX17,37,0.9043871839572717,10,-1.077079594726194
MMS22L,37,0.9825942108223029,22,-1.6317234004533496
NUDT21,37,0.9733797338631778,24,-1.6077029792852693
ATP6V1B2,37,0.9639033750370816,22,-1.6383097841597265
SARS1,37,0.9639439018996986,37,-2.7931991987101767
COPS6,37,0.9665335647694698,27,-1.6518566105091772
U2AF2,37,0.962873992082235,23,-1.581782786003312
MTREX,37,0.9247433457288655,11,-1.3266074491806896
TPT1,37,0.901168714638229,7,-1.2864941366210902
RCC1,37,0.9722863666646117,29,-1.8061286253513622
